23082,PPRC1,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
27086,FOXP1,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
27253,PCDH17,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
50943,FOXP3,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
80350,LPAL2,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
84432,PROK1,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
112744,IL17F,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
406881,MIRLET7A1,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
407004,MIR22,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
10413,YAP1,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
9113,LATS1,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
5021,OXTR,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
7042,TGFB2,25449831,25449831,2454848,2454848,11675475,11675475,12760253,12760253,15588473,15588473,10381818,10381818,19230253,19230253,9436699,9436699,26216523,26216523,18490013,18490013,16750201,16750201,19055724,19055724,20858448,20858448,20537326,20537326,24188612,24188612,23141164,23141164,22017422,22017422,10433073,10433073,9764347,9764347,8738720,8738720,15507512,15507512,25912412,25912412,25194152,25194152,20031030,20031030,24188612,24188612,19429661,19429661,25446850,25446850,22384446,22384446,19903049,19903049,19401003,19401003,24613539,24613539,17624337,17624337,24210790,24210790,9130910,9130910,24613539,24613539,17609243,17609243,15236995,15236995,14748845,14748845,18955785,18955785,16723371,16723371,18644593,18644593,15019822,15019822,16723371,16723371,16762179,16762179,17141400,17141400,18644593,18644593,15019822,15019822,25201101,25201101,23340055,23340055,22883517,22883517,22736326,22736326,25422360,25422360,24661731,24661731,22563025,22563025,11883311,11883311,16644787,16644787,12107265,12107265,22065163
7133,TNFRSF1B,25449831,25449831,25449831,2454848,2454848,2454848,11675475,11675475,11675475,12760253,12760253,12760253,15588473,15588473,15588473,10381818,10381818,10381818,19230253,19230253,19230253,9436699,9436699,9436699,26216523,26216523,26216523,18490013,18490013,18490013,16750201,16750201,16750201,19055724,19055724,19055724,20858448,20858448,20858448,20537326,20537326,20537326,24188612,24188612,24188612,23141164,23141164,23141164,22017422,22017422,22017422,10433073,10433073,10433073,9764347,9764347,9764347,8738720,8738720,8738720,15507512,15507512,15507512,25912412,25912412,25912412,25194152,25194152,25194152,20031030,20031030,20031030,24188612,24188612,24188612,19429661,19429661,19429661,25446850,25446850,25446850,22384446,22384446,22384446,19903049,19903049,19903049,19401003,19401003,19401003,24613539,24613539,24613539,17624337,17624337,17624337,24210790,24210790,24210790,9130910,9130910,9130910,24613539,24613539,24613539,17609243,17609243,17609243,15236995,15236995,15236995,14748845,14748845,14748845,18955785,1895
6356,CCL11,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
